"run";"tick";"State"
1;435.0;"LOST"
3;184.0;"VICTORY"
5;398.0;"VICTORY"
7;129.0;"VICTORY"
9;515.0;"LOST"
11;39.0;"VICTORY"
13;157.0;"VICTORY"
15;46.0;"VICTORY"
17;361.0;"LOST"
19;1417.0;"VICTORY"
21;234.0;"VICTORY"
23;127.0;"VICTORY"
25;764.0;"LOST"
27;1011.0;"VICTORY"
29;119.0;"VICTORY"
31;19.0;"VICTORY"
33;207.0;"LOST"
35;1301.0;"VICTORY"
37;140.0;"VICTORY"
39;219.0;"VICTORY"
41;231.0;"VICTORY"
43;1344.0;"VICTORY"
45;34.0;"VICTORY"
47;44.0;"VICTORY"
49;372.0;"LOST"
51;2000.0;"RUNNING"
53;279.0;"VICTORY"
55;244.0;"LOST"
57;254.0;"LOST"
59;1548.0;"VICTORY"
61;148.0;"VICTORY"
63;342.0;"LOST"
65;316.0;"VICTORY"
67;1800.0;"VICTORY"
69;137.0;"VICTORY"
71;123.0;"VICTORY"
73;230.0;"LOST"
75;47.0;"VICTORY"
77;39.0;"VICTORY"
79;36.0;"VICTORY"
81;151.0;"LOST"
83;2000.0;"RUNNING"
85;143.0;"VICTORY"
87;130.0;"VICTORY"
89;136.0;"LOST"
91;440.0;"VICTORY"
93;51.0;"VICTORY"
95;35.0;"VICTORY"
97;188.0;"VICTORY"
99;1262.0;"VICTORY"
101;133.0;"VICTORY"
103;172.0;"VICTORY"
105;354.0;"VICTORY"
107;53.0;"VICTORY"
109;136.0;"VICTORY"
111;48.0;"VICTORY"
113;246.0;"LOST"
115;1128.0;"VICTORY"
117;58.0;"VICTORY"
119;175.0;"VICTORY"
121;197.0;"LOST"
123;2000.0;"RUNNING"
125;33.0;"VICTORY"
127;34.0;"VICTORY"
2;1248.0;"LOST"
4;552.0;"VICTORY"
6;205.0;"VICTORY"
8;167.0;"VICTORY"
10;1495.0;"LOST"
12;841.0;"VICTORY"
14;185.0;"VICTORY"
16;235.0;"VICTORY"
18;271.0;"LOST"
20;2000.0;"RUNNING"
22;118.0;"VICTORY"
24;333.0;"VICTORY"
26;290.0;"LOST"
28;1874.0;"VICTORY"
30;144.0;"VICTORY"
32;36.0;"VICTORY"
34;210.0;"LOST"
36;630.0;"VICTORY"
38;357.0;"VICTORY"
40;193.0;"VICTORY"
42;183.0;"VICTORY"
44;172.0;"VICTORY"
46;140.0;"VICTORY"
48;224.0;"VICTORY"
50;120.0;"LOST"
52;470.0;"VICTORY"
54;55.0;"VICTORY"
56;182.0;"VICTORY"
58;314.0;"LOST"
60;781.0;"LOST"
62;115.0;"VICTORY"
64;156.0;"VICTORY"
66;695.0;"LOST"
68;2000.0;"RUNNING"
70;164.0;"VICTORY"
72;41.0;"VICTORY"
74;232.0;"VICTORY"
76;56.0;"VICTORY"
78;231.0;"VICTORY"
80;49.0;"VICTORY"
82;865.0;"LOST"
84;228.0;"VICTORY"
86;136.0;"VICTORY"
88;54.0;"VICTORY"
90;196.0;"VICTORY"
92;148.0;"VICTORY"
94;168.0;"VICTORY"
96;282.0;"VICTORY"
98;681.0;"LOST"
100;2000.0;"RUNNING"
102;145.0;"LOST"
104;145.0;"LOST"
106;186.0;"VICTORY"
108;165.0;"VICTORY"
110;43.0;"VICTORY"
112;119.0;"VICTORY"
114;150.0;"LOST"
116;1370.0;"VICTORY"
118;43.0;"VICTORY"
120;127.0;"VICTORY"
122;176.0;"LOST"
124;839.0;"VICTORY"
126;49.0;"VICTORY"
128;58.0;"VICTORY"
