"run","tick","State"
1,564.0,"LOST"
3,2000.0,"RUNNING"
5,202.0,"VICTORY"
7,190.0,"VICTORY"
9,935.0,"LOST"
11,319.0,"VICTORY"
13,38.0,"VICTORY"
15,55.0,"VICTORY"
17,776.0,"LOST"
19,2000.0,"RUNNING"
21,174.0,"VICTORY"
23,113.0,"VICTORY"
25,390.0,"LOST"
27,342.0,"VICTORY"
29,172.0,"VICTORY"
31,47.0,"VICTORY"
33,599.0,"LOST"
35,571.0,"VICTORY"
37,106.0,"VICTORY"
39,203.0,"VICTORY"
41,440.0,"LOST"
43,325.0,"VICTORY"
45,57.0,"VICTORY"
47,38.0,"VICTORY"
49,322.0,"LOST"
51,355.0,"LOST"
53,319.0,"VICTORY"
55,321.0,"VICTORY"
57,159.0,"LOST"
59,549.0,"VICTORY"
61,100.0,"VICTORY"
63,138.0,"VICTORY"
65,420.0,"LOST"
67,2000.0,"RUNNING"
69,37.0,"VICTORY"
71,50.0,"VICTORY"
73,417.0,"VICTORY"
75,47.0,"VICTORY"
77,39.0,"VICTORY"
79,35.0,"VICTORY"
81,398.0,"LOST"
83,2000.0,"RUNNING"
85,53.0,"VICTORY"
87,251.0,"VICTORY"
89,203.0,"LOST"
91,847.0,"VICTORY"
93,34.0,"VICTORY"
95,112.0,"VICTORY"
97,180.0,"VICTORY"
99,155.0,"VICTORY"
101,211.0,"VICTORY"
103,41.0,"VICTORY"
105,644.0,"VICTORY"
107,283.0,"VICTORY"
109,20.0,"VICTORY"
111,50.0,"VICTORY"
113,110.0,"LOST"
115,210.0,"LOST"
117,49.0,"VICTORY"
119,140.0,"VICTORY"
121,125.0,"LOST"
123,405.0,"VICTORY"
125,58.0,"VICTORY"
127,30.0,"VICTORY"
2,494.0,"LOST"
4,2000.0,"RUNNING"
6,204.0,"VICTORY"
8,287.0,"VICTORY"
10,144.0,"VICTORY"
12,619.0,"VICTORY"
14,34.0,"VICTORY"
16,34.0,"VICTORY"
18,662.0,"LOST"
20,2000.0,"RUNNING"
22,203.0,"LOST"
24,212.0,"VICTORY"
26,158.0,"LOST"
28,2000.0,"RUNNING"
30,201.0,"VICTORY"
32,31.0,"VICTORY"
34,835.0,"LOST"
36,751.0,"VICTORY"
38,158.0,"VICTORY"
40,261.0,"VICTORY"
42,228.0,"VICTORY"
44,2000.0,"RUNNING"
46,134.0,"LOST"
48,48.0,"VICTORY"
50,162.0,"LOST"
52,1214.0,"VICTORY"
54,445.0,"LOST"
56,197.0,"VICTORY"
58,321.0,"LOST"
60,201.0,"VICTORY"
62,53.0,"VICTORY"
64,161.0,"LOST"
66,342.0,"LOST"
68,307.0,"VICTORY"
70,186.0,"VICTORY"
72,133.0,"VICTORY"
74,1376.0,"LOST"
76,221.0,"VICTORY"
78,58.0,"VICTORY"
80,120.0,"VICTORY"
82,316.0,"LOST"
84,524.0,"VICTORY"
86,155.0,"VICTORY"
88,131.0,"VICTORY"
90,368.0,"LOST"
92,2000.0,"RUNNING"
94,36.0,"VICTORY"
96,36.0,"VICTORY"
98,1102.0,"LOST"
100,625.0,"VICTORY"
102,195.0,"LOST"
104,58.0,"VICTORY"
106,46.0,"VICTORY"
108,2000.0,"RUNNING"
110,15.0,"VICTORY"
112,162.0,"VICTORY"
114,191.0,"LOST"
116,576.0,"VICTORY"
118,126.0,"VICTORY"
120,135.0,"LOST"
122,277.0,"LOST"
124,1263.0,"VICTORY"
126,51.0,"VICTORY"
128,160.0,"VICTORY"
