"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;-284113590;1;0.1;1;1;1;1;0.1
3;-284109409;3;0.3;3;3;3;3;0.3
5;-284108669;5;0.5;5;5;5;5;0.5
7;-284108417;7;0.7;7;7;5;7;0.7
9;-284108021;9;0.9;9;9;5;9;0.9
11;-284106317;11;1.1;11;11;5;11;1.1
13;-284105866;13;1.3;13;13;5;13;1.3
15;-284105120;15;1.3;15;15;5;15;1.3
2;-284114061;2;0.2;2;2;2;2;0.2
4;-284112602;4;0.4;4;4;4;4;0.4
6;-284112152;6;0.6;6;6;5;6;0.6
8;-284111847;8;0.8;8;8;5;8;0.8
10;-284111500;10;1.0;10;10;5;10;1.0
12;-284111170;12;1.2;12;12;5;12;1.2
14;-284110192;14;1.3;14;14;5;14;1.3
