"run";"tick";"p";"d"
1;564.0;3;4.0
3;2000.0;5;4.0
5;202.0;5;0.0
7;190.0;5;0.0
9;935.0;3;8.0
11;319.0;5;0.0
13;38.0;5;0.0
15;55.0;5;0.0
17;776.0;1;8.0
19;2000.0;5;8.0
21;174.0;5;0.0
23;113.0;5;0.0
25;390.0;2;6.0
27;342.0;5;0.0
29;172.0;5;0.0
31;47.0;5;0.0
33;599.0;3;2.0
35;571.0;5;0.0
37;106.0;5;0.0
39;203.0;5;0.0
41;440.0;1;6.0
43;325.0;5;0.0
45;57.0;5;0.0
47;38.0;5;0.0
49;322.0;0;8.0
51;355.0;1;7.0
53;319.0;3;0.0
55;321.0;5;0.0
57;159.0;2;2.0
59;549.0;3;0.0
61;100.0;4;0.0
63;138.0;5;0.0
65;420.0;4;4.0
67;2000.0;8;7.0
69;37.0;8;0.0
71;50.0;8;0.0
73;417.0;7;0.0
75;47.0;8;0.0
77;39.0;8;0.0
79;35.0;8;0.0
81;398.0;2;6.0
83;2000.0;8;6.0
85;53.0;8;0.0
87;251.0;7;0.0
89;203.0;7;2.0
91;847.0;8;0.0
93;34.0;8;0.0
95;112.0;8;0.0
97;180.0;7;0.0
99;155.0;8;0.0
101;211.0;6;0.0
103;41.0;8;0.0
105;644.0;5;0.0
107;283.0;8;0.0
109;20.0;8;0.0
111;50.0;8;0.0
113;110.0;0;7.0
115;210.0;2;7.0
117;49.0;8;0.0
119;140.0;8;0.0
121;125.0;3;6.0
123;405.0;4;0.0
125;58.0;8;0.0
127;30.0;8;0.0
2;494.0;3;5.0
4;2000.0;5;8.0
6;204.0;4;0.0
8;287.0;5;0.0
10;144.0;5;0.0
12;619.0;5;0.0
14;34.0;5;0.0
16;34.0;5;0.0
18;662.0;1;7.0
20;2000.0;5;3.0
22;203.0;4;6.0
24;212.0;5;0.0
26;158.0;3;2.0
28;2000.0;5;7.0
30;201.0;4;0.0
32;31.0;5;0.0
34;835.0;3;8.0
36;751.0;4;0.0
38;158.0;5;0.0
40;261.0;5;0.0
42;228.0;4;0.0
44;2000.0;5;5.0
46;134.0;4;2.0
48;48.0;5;0.0
50;162.0;0;8.0
52;1214.0;2;0.0
54;445.0;0;8.0
56;197.0;4;0.0
58;321.0;0;8.0
60;201.0;4;0.0
62;53.0;5;0.0
64;161.0;4;4.0
66;342.0;6;7.0
68;307.0;8;0.0
70;186.0;8;0.0
72;133.0;8;0.0
74;1376.0;7;5.0
76;221.0;8;0.0
78;58.0;8;0.0
80;120.0;8;0.0
82;316.0;2;6.0
84;524.0;8;0.0
86;155.0;8;0.0
88;131.0;7;0.0
90;368.0;5;5.0
92;2000.0;8;2.0
94;36.0;8;0.0
96;36.0;8;0.0
98;1102.0;2;7.0
100;625.0;8;0.0
102;195.0;6;1.0
104;58.0;8;0.0
106;46.0;8;0.0
108;2000.0;8;2.0
110;15.0;8;0.0
112;162.0;8;0.0
114;191.0;0;8.0
116;576.0;4;0.0
118;126.0;6;0.0
120;135.0;7;1.0
122;277.0;3;6.0
124;1263.0;4;0.0
126;51.0;8;0.0
128;160.0;8;0.0
